Symbol,int
Su(mg)3-1,1
Su(mg)2-7,2
Su(mg)2-6,18
Su(mg)2-5,1
Su(mg)2-4,1
Su(mg)2-3,5
Su(mg)2-2,4
Su(mg)2-1,2
Su(mg)1-9,1
Su(mg)1-8,1
Su(mg)1-7,2
Su(mg)1-7,1
Su(mg)1-6,1
Su(mg)1-4,3
Su(mg)1-3,1
Su(mg)1-2,6
Su(mg)1-1,1
su(mbm),1
su(lz<up>34</up>),4
su(Hw),1
su(Hw),1
su(Hw),5
su(Hw),1
su(Hw),1
su(Hw),1
su(Hw),2
su(Hw),2
su(Hw),4
su(Hw),1
su(Hw),6
su(Hw),1
su(Hw),5
su(Hw),1
su(Hw),7
su(Hw),1
su(Hw),1
su(Hw),1
su(Hw),1
su(Hw),2
Su(hh)VII,1
Su(hh)VII,1
Su(hh)VI,2
Su(hh)V,5
Su(hh)IV,1
Su(hh)IV,5
Su(hh)IV,3
Su(hh)III,1
Su(hh)III,16
Su(hh)II,1
Su(hh)II,3
Su(hh)II,3
Su(hh)I,1
Su(hh)I,1
Su(hh)3A,1
Su(hh)2A,1
Su(H),2
Su(H),2
Su(H),1
Su(H),1
Su(H),12
Su(H),1
Su(H),1
Su(H),2
Su(H),1
Su(H),1
Su(H),6
Su(H),4
Su(H),1
Su(H),1
Su(H),2
Su(H),2
Su(H),1
Su(H),1
Su(H),1
Su(H),2
Su(H),2
Su(H),2
Su(H),5
Su(H),1
Su(H),2
Su(H),3
Su(H),3
Su(H),6
Su(H),2
Su(H),6
Su(fu),1
Su(fu),2
Su(fu),1
Su(fu),1
Su(fu),2
Su(fu),1
Su(fu),1
Su(fu),1
su(fa<up>swb</up>),6
su(f),1
su(f),2
su(f),2
su(f),1
su(f),1
su(f),2
su(f),1
su(f),1
su(eas)7,4
su(eas)13,4
Su(dx),1
Su(dx),1
Su(dx),1
Su(dx),1
Su(dx),1
Su(dx),1
su(dpy<up>ov</up>),1
Su(dpp)YE5,1
Su(dpp)YE31,3
Su(dpp)YE28,1
Su(dpp)YE2,1
Su(dpp)YE12,1
Su(dpp)YE10,1
Su(dpp)39CDE,1
Su(Dl)F116,1
Su(Dl)D107,1
Su(da<up>lyh</up>)26H6,1
Su(da<up>lyh</up>)26E2,1
Su(da<up>lyh</up>)22C6,2
Su(da<up>lyh</up>)22C1,1
Su(Cy),1
Su(crc)2,1
Su(crc),1
su(Bar),1
su(b),2
Su(2)E,1
sty,1
sty,3
sty,3
sty,1
sty,1
sty,2
sty,3
sty,4
sty,5
sty,1
sty,1
sty,1
sty,1
sty,1
sty,1
sty,1
sty,1
sty,1
sty,2
sty,2
sty,3
sty,1
stwl,2
stwl,1
stumps,2
stumps,1
stumps,5
stumps,4
stumps,5
stumps,1
stumps,1
stumps,1
stumps,1
strb,1
stout,1
stops,1
stnB,8
stnB,1
stnB,1
stnA,1
stnA,2
stnA,4
stnA,1
stnA,1
stnA,1
stl,1
sti,2
stg,1
stg,1
stg,1
stg,2
stg,1
stg,3
stg,1
stg,1
stg,1
stg,3
stg,1
stg,2
stg,1
stg,1
stg,1
stg,1
stg,2
stg,1
stg,2
stg,1
stg,1
stg,2
stg,2
stet,1
stet,1
stet,1
Ste,4
Ste,1
Ste,1
std,3
stck,1
stck,1
stau::Mdoa\stau,5
stau,1
stau,1
stau,1
stau,1
stau,2
Stat92E,1
Stat92E,4
Stat92E,1
Stat92E,1
Stat92E,3
Stat92E,1
Stat92E,1
Stat92E,1
Stat92E,2
Stat92E,2
Stat92E,1
Stat92E,3
Stat92E,1
Stat92E,2
Stat92E,1
stan,1
stan,1
stan,1
stan,2
stan,1
